Specialty,Day,BedsAvailable,BedsUsed
1,1,15,4
1,2,15,4
1,3,15,4
1,4,15,4
1,5,15,4
1,6,15,4
1,7,15,4
3,1,4,4
3,2,4,4
3,3,5,5
3,4,7,5
3,5,10,5
3,6,13,5
3,7,13,5
5,1,8,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,12,4
7,2,14,6
7,3,15,6
7,4,15,6
7,5,15,6
7,6,18,6
7,7,18,6
1,8,15,4
1,9,15,4
1,10,15,4
1,11,15,3
1,12,15,2
1,13,15,0
1,14,15,0
3,8,13,5
3,9,13,2
3,10,13,2
3,11,13,1
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,5
7,9,18,5
7,10,18,4
7,11,18,3
7,12,18,2
7,13,18,0
7,14,18,0
1,-7,4,4
1,-6,5,4
1,-5,9,4
1,-4,11,4
1,-3,12,4
1,-2,15,4
1,-1,15,4
3,-7,2,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,3,0
3,-2,4,0
3,-1,4,3
5,-7,6,0
5,-6,8,0
5,-5,8,0
5,-4,8,0
5,-3,8,0
5,-2,8,0
5,-1,8,0
7,-7,9,0
7,-6,8,0
7,-5,8,0
7,-4,10,0
7,-3,12,0
7,-2,12,1
7,-1,12,2
