Specialty,Day,BedsAvailable,BedsUsed
1,1,15,3
1,2,15,3
1,3,15,3
1,4,15,3
1,5,15,3
1,6,15,3
1,7,15,3
3,1,13,8
3,2,13,9
3,3,13,13
3,4,13,13
3,5,13,13
3,6,13,13
3,7,13,13
5,1,12,6
5,2,12,7
5,3,12,7
5,4,12,7
5,5,12,7
5,6,12,7
5,7,12,7
7,1,18,9
7,2,18,10
7,3,18,10
7,4,18,10
7,5,18,10
7,6,18,10
7,7,18,10
1,-7,3,3
1,-6,3,3
1,-5,3,3
1,-4,3,3
1,-3,3,3
1,-2,3,3
1,-1,3,3
3,-7,11,0
3,-6,10,0
3,-5,4,0
3,-4,4,0
3,-3,4,0
3,-2,4,0
3,-1,4,3
5,-7,10,0
5,-6,9,0
5,-5,9,0
5,-4,9,0
5,-3,9,0
5,-2,9,4
5,-1,9,5
7,-7,18,0
7,-6,16,0
7,-5,16,0
7,-4,16,0
7,-3,16,0
7,-2,16,4
7,-1,16,6
