Specialty,Day,BedsAvailable,BedsUsed
1,1,15,12
1,2,15,12
1,3,15,12
1,4,15,12
1,5,15,12
1,6,15,12
1,7,15,12
3,1,13,3
3,2,13,4
3,3,13,5
3,4,13,5
3,5,13,5
3,6,13,5
3,7,13,5
5,1,12,2
5,2,12,2
5,3,12,2
5,4,12,2
5,5,12,2
5,6,12,2
5,7,12,2
7,1,18,4
7,2,18,4
7,3,18,4
7,4,18,4
7,5,18,4
7,6,18,4
7,7,18,4
1,-7,12,12
1,-6,12,12
1,-5,12,12
1,-4,12,12
1,-3,12,12
1,-2,12,12
1,-1,12,12
3,-7,7,0
3,-6,5,0
3,-5,5,0
3,-4,5,0
3,-3,5,0
3,-2,5,0
3,-1,5,1
5,-7,7,0
5,-6,7,0
5,-5,7,0
5,-4,7,0
5,-3,7,0
5,-2,7,0
5,-1,7,1
7,-7,15,0
7,-6,14,0
7,-5,14,0
7,-4,14,0
7,-3,14,0
7,-2,14,0
7,-1,14,0
