Specialty,Day,BedsAvailable,BedsUsed
1,1,7,7
1,2,9,9
1,3,10,10
1,4,10,10
1,5,13,10
1,6,15,10
1,7,15,9
3,1,5,4
3,2,5,5
3,3,6,6
3,4,8,8
3,5,11,8
3,6,13,6
3,7,13,6
5,1,11,1
5,2,11,1
5,3,11,4
5,4,11,4
5,5,11,4
5,6,12,4
5,7,12,4
7,1,16,3
7,2,16,4
7,3,18,2
7,4,18,2
7,5,18,2
7,6,18,2
7,7,18,1
1,8,15,9
1,9,15,8
1,10,15,7
1,11,15,3
1,12,15,1
1,13,15,0
1,14,15,0
3,8,13,5
3,9,13,3
3,10,13,2
3,11,13,2
3,12,13,1
3,13,13,0
3,14,13,0
5,8,12,3
5,9,12,2
5,10,12,1
5,11,12,1
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,1
7,9,18,1
7,10,18,1
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,2,2
1,-2,5,5
1,-1,5,5
3,-7,0,0
3,-6,0,0
3,-5,1,0
3,-4,0,0
3,-3,2,0
3,-2,3,0
3,-1,4,1
5,-7,6,0
5,-6,6,0
5,-5,5,0
5,-4,5,0
5,-3,7,0
5,-2,8,0
5,-1,11,0
7,-7,7,0
7,-6,8,0
7,-5,9,0
7,-4,9,0
7,-3,10,0
7,-2,13,1
7,-1,16,2
