Specialty,Day,BedsAvailable,BedsUsed
1,1,8,8
1,2,8,8
1,3,9,9
1,4,10,10
1,5,12,10
1,6,15,10
1,7,15,10
3,1,7,7
3,2,7,7
3,3,9,8
3,4,10,10
3,5,12,10
3,6,13,10
3,7,13,9
5,1,11,5
5,2,12,6
5,3,12,7
5,4,12,7
5,5,12,5
5,6,12,4
5,7,12,1
7,1,14,7
7,2,16,8
7,3,18,9
7,4,18,9
7,5,18,8
7,6,18,5
7,7,18,2
1,8,15,8
1,9,15,6
1,10,15,5
1,11,15,5
1,12,15,2
1,13,15,0
1,14,15,0
3,8,13,8
3,9,13,8
3,10,13,7
3,11,13,5
3,12,13,2
3,13,13,0
3,14,13,0
5,8,12,1
5,9,12,1
5,10,12,1
5,11,12,1
5,12,12,1
5,13,12,0
5,14,12,0
7,8,18,2
7,9,18,2
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,0,0
1,-6,0,0
1,-5,0,0
1,-4,0,0
1,-3,2,2
1,-2,2,2
1,-1,3,3
3,-7,0,0
3,-6,0,0
3,-5,0,0
3,-4,0,0
3,-3,3,0
3,-2,7,0
3,-1,7,2
5,-7,9,0
5,-6,9,0
5,-5,10,0
5,-4,11,0
5,-3,11,0
5,-2,11,0
5,-1,11,0
7,-7,8,0
7,-6,6,0
7,-5,6,0
7,-4,6,0
7,-3,8,0
7,-2,9,0
7,-1,12,3
