Specialty,Day,BedsAvailable,BedsUsed
1,1,8,6
1,2,9,6
1,3,12,6
1,4,12,6
1,5,13,6
3,1,5,1
3,2,6,1
3,3,8,2
3,4,9,4
3,5,10,4
5,1,7,2
5,2,8,2
5,3,8,2
5,4,8,2
5,5,8,2
7,1,12,6
7,2,15,6
7,3,15,6
7,4,15,6
7,5,16,6
1,-7,11,0
1,-6,11,0
1,-5,7,0
1,-4,3,0
1,-3,5,0
1,-2,5,0
1,-1,5,0
3,-7,11,0
3,-6,10,0
3,-5,8,0
3,-4,5,0
3,-3,6,0
3,-2,7,0
3,-1,5,0
5,-7,9,0
5,-6,9,0
5,-5,7,0
5,-4,5,0
5,-3,4,0
5,-2,4,0
5,-1,6,0
7,-7,11,0
7,-6,9,0
7,-5,6,0
7,-4,2,0
7,-3,3,0
7,-2,8,0
7,-1,10,0
