Specialty,Day,BedsAvailable,BedsUsed
2,1,5,5
2,2,5,5
2,3,5,5
2,4,5,5
2,5,5,5
3,1,7,6
3,2,9,8
3,3,9,8
3,4,12,10
3,5,13,11
1,1,6,5
1,2,7,5
1,3,9,5
1,4,10,5
1,5,11,5
4,1,15,9
4,2,15,9
4,3,16,9
4,4,18,9
4,5,18,9
2,-7,5,0
2,-6,5,0
2,-5,0,0
2,-4,0,0
2,-3,0,0
2,-2,5,0
2,-1,5,0
3,-7,25,0
3,-6,21,0
3,-5,14,0
3,-4,12,0
3,-3,12,0
3,-2,10,0
3,-1,7,0
1,-7,13,0
1,-6,7,0
1,-5,7,0
1,-4,4,0
1,-3,2,0
1,-2,6,0
1,-1,5,0
4,-7,15,0
4,-6,14,0
4,-5,11,0
4,-4,11,0
4,-3,11,0
4,-2,14,0
4,-1,14,0
