Specialty,Day,BedsAvailable,BedsUsed
1,1,15,3
1,2,15,3
1,3,15,3
1,4,15,3
1,5,15,3
1,6,15,3
1,7,15,3
3,1,13,8
3,2,13,9
3,3,13,10
3,4,13,10
3,5,13,10
3,6,13,10
3,7,13,10
5,1,12,1
5,2,12,1
5,3,12,1
5,4,12,1
5,5,12,1
5,6,12,1
5,7,12,1
7,1,18,11
7,2,18,14
7,3,18,14
7,4,18,14
7,5,18,14
7,6,18,14
7,7,18,14
1,-7,3,3
1,-6,3,3
1,-5,3,3
1,-4,3,3
1,-3,3,3
1,-2,3,3
1,-1,3,3
3,-7,10,0
3,-6,9,0
3,-5,8,0
3,-4,8,0
3,-3,8,0
3,-2,8,0
3,-1,8,4
5,-7,10,0
5,-6,10,0
5,-5,10,0
5,-4,10,0
5,-3,10,0
5,-2,10,1
5,-1,10,1
7,-7,14,0
7,-6,14,0
7,-5,14,0
7,-4,14,0
7,-3,14,0
7,-2,14,4
7,-1,14,6
